batch_id,premiere_mesure,derniere_mesure,nombre_mesures,nombre_localisations,temperature_min,temperature_max,temperature_moyenne,humidite_moyenne,heures_hors_limite_max,heures_refrigeration_max,heures_ultra_low_max,expiration_min,presence_discarded,statut_analytique,date_fin_observee,localisation_finale,etape_finale,stockage_final,temperature_finale_min,temperature_finale_max,temperature_finale_moyenne,expiration_heures_finale,heures_hors_limite_finales,issue_finale_observee,signal_temperature_superieure_8,signal_excursion_prolongee,signal_expiration,signal_temperature_finale_superieure_8,niveau_revue_qualite
batch003,2020-11-01 01:00:00,2020-11-12 22:00:00,565,7,-71,10,-37.02,90.25,6,114,124,595,True,Lot dirigé vers stockage de vaccins écartés,2020-11-12 22:00:00,Chattisgarh,dest_discarded_vaccine_storage_unit,discarded_vaccine_storage_unit,10,10,10.0,595,6,Écart explicite observé,True,True,False,True,Priorité élevée - excursion thermique prolongée
batch026,2021-08-01 01:00:00,2021-08-07 14:00:00,311,5,-71,13,-11.93,89.45,5,114,1,719,True,Lot dirigé vers stockage de vaccins écartés,2021-08-07 14:00:00,Delhi Airport,dest_discarded_vaccine_storage_unit,discarded_vaccine_storage_unit,9,13,11.0,719,5,Écart explicite observé,True,True,False,True,Priorité élevée - excursion thermique prolongée
batch001,2020-09-01 01:00:00,2020-10-07 14:00:00,1734,7,-71,14,-58.03,92.46,1,119,720,-1,True,Lot dirigé vers stockage de vaccins écartés,2020-10-07 14:00:00,Jharkand,dest_discarded_vaccine_storage_unit,vaccine_storage_unit,13,14,13.5,-1,1,Écart explicite observé,True,False,True,True,Priorité critique - expiration observée
batch008,2021-04-01 01:00:00,2021-05-07 14:00:00,1736,7,-71,4,-58.17,92.46,1,120,720,-1,True,Lot dirigé vers stockage de vaccins écartés,2021-05-07 14:00:00,Jharkand,dest_discarded_vaccine_storage_unit,discarded_vaccine_storage_unit,2,3,2.5,-1,1,Écart explicite observé,False,False,True,False,Priorité critique - expiration observée
batch012,2020-10-01 01:00:00,2020-11-06 14:00:00,1743,7,-71,4,-57.9,92.49,1,120,720,-1,True,Lot dirigé vers stockage de vaccins écartés,2020-11-06 14:00:00,Jharkand,dest_discarded_vaccine_storage_unit,discarded_vaccine_storage_unit,2,2,2.0,-1,1,Écart explicite observé,False,False,True,False,Priorité critique - expiration observée
batch019,2020-12-01 01:00:00,2021-01-06 14:00:00,1742,7,-71,4,-58.02,92.5,1,120,720,-1,True,Lot dirigé vers stockage de vaccins écartés,2021-01-06 14:00:00,Jharkand,dest_discarded_vaccine_storage_unit,discarded_vaccine_storage_unit,2,3,2.5,-1,1,Écart explicite observé,False,False,True,False,Priorité critique - expiration observée
batch024,2021-06-01 01:00:00,2021-07-07 14:00:00,1726,7,-71,4,-57.97,92.47,1,120,720,-1,True,Lot dirigé vers stockage de vaccins écartés,2021-07-07 14:00:00,Jharkand,dest_discarded_vaccine_storage_unit,discarded_vaccine_storage_unit,3,4,3.5,-1,1,Écart explicite observé,False,False,True,False,Priorité critique - expiration observée
batch006,2021-02-01 01:00:00,2021-02-27 14:00:00,1259,7,-71,15,-53.84,91.61,6,114,480,239,False,Signal de température hors limite détecté,2021-02-27 14:00:00,Jharkand,dest_vaccine_storage_unit,discarded_vaccine_storage_unit,13,15,14.0,239,6,Discordance à valider,True,True,False,True,Priorité critique - discordance à valider
batch014,2020-12-01 01:00:00,2020-12-27 14:00:00,1269,7,-71,13,-53.81,91.57,6,114,481,239,False,Signal de température hors limite détecté,2020-12-27 14:00:00,Jharkand,dest_vaccine_storage_unit,discarded_vaccine_storage_unit,9,13,11.0,239,6,Discordance à valider,True,True,False,True,Priorité critique - discordance à valider
batch028,2021-07-01 01:00:00,2021-07-27 14:00:00,1264,7,-71,13,-53.83,91.64,6,114,480,239,False,Signal de température hors limite détecté,2021-07-27 14:00:00,Jharkand,dest_vaccine_storage_unit,discarded_vaccine_storage_unit,13,13,13.0,239,6,Discordance à valider,True,True,False,True,Priorité critique - discordance à valider
batch002,2020-10-01 01:00:00,2020-10-13 07:00:00,577,7,-71,4,-64.49,92.03,1,13,240,586,False,Signal de température hors limite détecté,2020-10-13 07:00:00,Pune,immunization_site,vaccination_room,2,4,3.0,586,1,Livré au site de vaccination,False,False,False,False,Surveillance - signal thermique enregistré
batch009,2021-05-01 01:00:00,2021-05-18 07:00:00,825,7,-71,4,-65.34,92.16,1,13,360,466,False,Signal de température hors limite détecté,2021-05-18 07:00:00,Pune,immunization_site,vaccination_room,2,3,2.5,466,1,Livré au site de vaccination,False,False,False,False,Surveillance - signal thermique enregistré
batch010,2021-06-01 01:00:00,2021-06-13 07:00:00,587,7,-71,4,-64.51,92.08,1,13,240,586,False,Signal de température hors limite détecté,2021-06-13 07:00:00,Pune,immunization_site,vaccination_room,2,3,2.5,586,1,Livré au site de vaccination,False,False,False,False,Surveillance - signal thermique enregistré
batch011,2020-09-01 01:00:00,2020-09-18 07:00:00,821,7,-71,4,-65.51,92.28,1,13,360,466,False,Signal de température hors limite détecté,2020-09-18 07:00:00,Pune,immunization_site,vaccination_room,2,3,2.5,466,1,Livré au site de vaccination,False,False,False,False,Surveillance - signal thermique enregistré
batch018,2021-05-01 01:00:00,2021-05-23 07:00:00,1054,7,-71,4,-65.79,92.24,1,13,480,346,False,Signal de température hors limite détecté,2021-05-23 07:00:00,Pune,immunization_site,vaccination_room,3,4,3.5,346,1,Livré au site de vaccination,False,False,False,False,Surveillance - signal thermique enregistré
batch020,2020-11-01 01:00:00,2020-11-23 07:00:00,1057,7,-71,4,-65.75,92.26,1,13,480,346,False,Signal de température hors limite détecté,2020-11-23 07:00:00,Pune,immunization_site,vaccination_room,4,4,4.0,346,1,Livré au site de vaccination,False,False,False,False,Surveillance - signal thermique enregistré
batch021,2021-01-01 01:00:00,2021-01-28 07:00:00,1296,7,-71,4,-66.13,92.34,1,13,600,226,False,Signal de température hors limite détecté,2021-01-28 07:00:00,Pune,immunization_site,vaccination_room,3,4,3.5,226,1,Livré au site de vaccination,False,False,False,False,Surveillance - signal thermique enregistré
batch022,2020-12-01 01:00:00,2020-12-13 07:00:00,586,7,-71,4,-64.48,92.09,1,13,240,586,False,Signal de température hors limite détecté,2020-12-13 07:00:00,Pune,immunization_site,vaccination_room,2,4,3.0,586,1,Livré au site de vaccination,False,False,False,False,Surveillance - signal thermique enregistré
batch023,2021-02-01 01:00:00,2021-02-28 07:00:00,1296,7,-71,4,-66.15,92.28,1,13,600,226,False,Signal de température hors limite détecté,2021-02-28 07:00:00,Pune,immunization_site,vaccination_room,3,4,3.5,226,1,Livré au site de vaccination,False,False,False,False,Surveillance - signal thermique enregistré
batch030,2021-08-01 01:00:00,2021-08-28 07:00:00,1300,7,-71,4,-66.15,92.29,1,13,600,226,False,Signal de température hors limite détecté,2021-08-28 07:00:00,Pune,immunization_site,vaccination_room,2,3,2.5,226,1,Livré au site de vaccination,False,False,False,False,Surveillance - signal thermique enregistré
